Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,1,3,1,1,2,2,1,4,1,1,87,93,91
1,2,4,1,1,1,2,1,0,1,0,76,78,75
0,1,4,1,0,3,0,0,1,0,0,85,93,89
1,1,4,0,1,1,2,1,1,0,2,41,43,39
1,3,2,0,0,2,2,0,3,0,2,65,64,68
1,3,0,1,1,0,2,1,1,1,0,40,52,43
0,1,2,1,1,1,1,0,1,0,0,66,82,74
1,0,4,1,0,2,2,1,1,0,2,80,73,71
0,0,3,1,1,0,2,1,2,0,1,48,53,58
0,1,5,0,1,0,2,1,1,1,0,18,32,28
1,3,2,1,1,1,2,1,5,1,0,66,69,63
0,1,4,0,0,1,2,0,2,1,0,65,75,70
1,0,3,0,1,1,1,1,1,1,0,75,76,76
1,1,4,1,1,1,2,1,5,1,1,66,53,53
0,2,1,1,1,1,2,1,4,1,2,69,70,76
1,2,2,1,1,1,2,0,1,0,0,70,70,65
0,3,4,1,1,2,2,1,0,0,1,66,72,72
0,3,0,1,1,1,1,0,2,0,0,76,82,85
0,3,5,0,1,1,1,1,1,0,0,51,64,60
0,3,0,0,0,1,1,0,1,1,0,77,91,90
1,1,0,0,1,2,1,1,5,1,0,58,56,58
1,2,0,0,1,1,0,1,0,1,0,53,60,52
0,4,0,0,1,1,2,1,5,1,1,48,55,52
1,2,4,1,1,0,1,1,3,1,2,56,45,43
1,3,2,1,1,2,2,1,2,1,0,88,78,75
0,2,2,0,1,0,2,1,2,0,0,33,41,43
0,4,0,1,0,1,2,1,3,1,2,84,86,87
0,2,5,0,1,2,1,1,3,1,2,0,17,10
1,0,0,0,1,1,2,1,5,0,0,62,61,55
0,3,5,1,1,1,2,1,0,1,0,59,58,59
1,1,5,1,1,1,0,1,1,0,1,63,62,58
1,3,5,0,1,1,2,1,4,1,0,45,37,37
0,2,4,1,1,1,1,0,3,1,0,61,73,75
0,2,0,1,1,2,2,1,3,1,0,39,64,57
1,3,4,1,0,0,2,1,3,0,2,64,55,64
0,0,0,0,1,2,1,1,1,0,0,42,51,49
1,2,5,0,1,0,0,1,3,1,0,59,56,54
0,3,5,1,0,0,2,1,2,1,2,62,75,73
0,4,3,1,1,0,0,1,1,1,0,60,68,68
0,1,0,1,1,1,1,1,0,0,2,49,50,52
1,4,0,1,1,1,1,1,0,0,0,74,64,64
0,2,4,1,1,0,2,1,0,0,0,73,80,82
0,3,0,1,1,2,2,1,0,0,0,71,71,74
0,0,4,1,1,0,1,1,3,1,1,57,69,67
1,2,0,0,0,1,1,0,3,0,2,45,46,52
0,1,4,1,1,1,1,1,4,0,0,81,87,94
1,1,5,1,0,1,1,1,5,1,0,63,65,61
0,3,1,1,1,1,1,1,3,1,1,64,66,62
1,1,4,1,1,1,2,0,7,1,0,79,67,67
1,3,1,1,0,2,2,0,1,0,0,68,74,74
0,3,0,1,1,1,1,1,3,1,0,87,92,91
1,1,2,1,0,1,1,0,3,1,0,61,44,48
0,2,4,1,1,1,2,1,0,1,0,58,67,72
0,3,3,1,1,1,2,0,3,0,0,87,100,100
0,1,0,0,1,1,2,1,2,1,0,52,76,70
0,1,5,1,1,2,1,0,3,1,0,72,64,73
0,3,0,0,0,2,2,1,4,1,2,79,90,99
0,3,4,1,1,1,0,1,1,1,1,47,56,51
0,4,1,1,0,1,1,1,3,1,1,98,99,100
1,2,2,1,1,1,2,1,4,0,0,84,77,74
0,1,1,0,1,2,0,0,1,1,0,72,83,79
0,3,1,1,1,1,0,0,2,0,0,75,80,77
0,3,5,1,1,2,1,1,0,0,2,54,64,63
0,2,4,1,1,0,2,0,3,1,0,55,69,65
0,2,1,1,0,1,0,1,1,1,0,76,90,86
1,1,0,1,0,1,2,1,3,1,1,88,87,90
0,1,2,1,1,2,0,1,2,1,2,86,94,85
1,3,3,1,1,2,2,0,1,1,1,87,84,82
1,2,5,0,0,2,1,1,1,0,1,52,36,40
1,3,1,0,0,1,2,1,1,0,2,76,80,76
1,1,5,1,0,0,2,1,1,0,0,51,54,41
1,4,2,1,1,0,2,1,0,1,1,67,54,54
1,3,4,1,0,1,2,1,0,0,2,73,61,70
0,3,5,1,1,1,2,0,1,1,0,76,72,71
0,2,4,0,1,1,1,0,2,0,0,60,62,65
1,0,2,1,1,2,2,0,1,1,0,57,43,47
1,3,4,1,1,0,2,1,3,0,2,90,74,79
0,3,1,1,0,1,2,1,1,0,1,65,73,79
1,4,0,0,0,1,1,0,3,0,0,100,100,95
1,0,5,1,0,1,2,0,2,0,0,62,67,69
0,1,0,1,0,2,2,1,2,1,1,57,68,64
0,2,4,1,0,1,1,1,3,1,1,69,88,88
0,4,2,0,0,1,1,1,1,1,0,67,75,79
1,3,0,0,1,1,1,0,3,1,2,70,63,66
1,1,0,0,0,2,2,1,2,0,0,82,78,74
0,4,4,0,0,1,2,1,3,1,0,75,88,85
1,1,3,0,1,2,0,0,2,1,0,48,53,52
0,4,3,1,1,1,0,1,3,0,1,76,89,86
0,2,1,1,0,1,2,1,0,1,0,96,100,100
1,2,2,0,0,2,2,1,5,0,0,53,51,51
0,1,3,0,0,1,1,0,1,0,2,62,79,83
0,1,2,1,0,1,1,1,2,0,0,70,84,79
1,0,2,1,0,0,1,1,5,1,2,76,75,77
1,4,5,1,1,1,2,0,3,1,1,91,86,76
0,3,4,1,1,2,0,1,3,1,0,76,84,78
0,2,0,1,1,1,2,1,2,1,0,63,67,70
0,2,1,0,0,1,2,0,1,1,1,41,50,52
0,2,3,1,0,0,2,1,1,1,0,81,92,89
0,1,3,0,0,0,1,1,2,1,0,54,72,65
0,3,5,1,0,0,1,1,0,1,0,99,100,100
1,2,3,0,0,2,2,1,2,0,1,60,68,75
0,2,4,0,1,2,2,1,1,0,0,46,64,66
1,4,2,1,1,1,0,1,1,1,1,75,73,62
1,3,5,1,0,1,2,0,4,0,0,62,66,68
1,1,5,0,1,1,1,0,3,1,1,47,51,45
0,2,1,1,1,2,2,1,1,1,1,74,86,85
0,4,0,1,1,1,2,1,2,1,0,66,65,69
1,3,4,1,0,1,2,0,2,1,1,73,81,77
1,3,0,1,1,1,1,0,4,1,1,60,54,52
0,2,0,1,0,2,1,0,1,0,1,66,83,86
0,3,4,0,1,0,2,1,3,1,1,63,79,75
1,2,0,1,1,1,2,1,2,1,0,69,77,69
1,4,1,1,1,1,1,1,4,1,0,84,62,63
1,4,2,1,0,1,1,0,2,1,0,83,81,77
0,1,4,0,1,1,1,1,1,0,1,73,80,76
1,3,5,0,0,3,2,1,3,1,1,77,77,77
0,2,2,0,1,0,2,1,2,1,0,42,62,60
1,2,0,0,0,2,1,0,1,1,0,61,51,57
0,4,0,0,0,1,2,1,3,1,1,80,84,86
1,1,2,0,1,1,2,0,2,1,1,64,75,68
0,3,2,1,0,3,1,1,4,1,0,57,69,75
1,1,0,1,1,1,2,1,0,1,2,89,86,74
1,3,5,1,1,1,1,0,3,1,0,88,81,76
0,2,4,1,1,1,2,1,5,1,0,72,72,71
1,3,2,1,1,2,1,1,0,1,0,58,50,55
0,2,4,1,0,1,1,1,3,1,2,93,97,98
1,4,5,1,1,0,2,1,3,1,2,94,88,79
1,2,1,1,0,1,2,0,3,1,2,85,83,85
